issue
pattern
rose
apologize
apparently
arrest
choose
closer
criminal
desk
dumped
fowler
guessing
huge
lived
officially
pulled
shop
suicide
suit
worst
certainly
chatter
checked
checking
dealer
dick
difficult
faith
mention
neither
ride
speaking
task
worth
admit
afternoon
county
disappeared
kinda
lied
missed
plus
smart
thanksgiving
weapon
absolutely
career
corrected
dangerous
given
happening
information
motherfucker
shoot
whore
bigger
closed
dude
expect
fell
florida
followed
george
helped
hero
jail
marshall
photo
prove
showed
sitting
suppose
swear
track
visit
wearing
wondering
agree
cash
entire
holding
moved
tape
ahead
belong
forgive
interested
involved
loved
nick
picked
upset
accept
doctor
marina
passenger
realize
according
favorite
figured
keeping
knowing
sooner
stopped
surveillance
wake
bust
contact
deserve
doomsday
finish
murdered
notice
perry
spent
starting
worried
butler
careful
connected
fuentes
helping
imagine
lately
none
single
tough
usually
completely
hang
longer
meant
moment
rather
speak
beach
christ
easier
known
warrant
bathtub
finding
hoping
saved
forever
hide
neighborhood
scared
sleeping
stupid
wonder
looked
situation
darkness
giving
previously
wolf
hiding
learn
mitchell
skinner
taught
leaving
follow
holy
matthew
risk
seeing
worked
daddy
explain
seriously
totally
boyfriend
drive
lying
putting
relationship
taken
vacation
forget
kid
save
oscar
shooting
talked
changed
goddamn
interview
press
spend
asshole
definitely
jonah
spatter
turned
watching
caught
felt
game
protect
appreciate
moving
needed
read
wedding
worse
broke
girlfriend
lady
professor
sick
using
captain
fast
lucky
lose
favor
piece
grab
city
team
calling
asking
except
couple
james
cole
forensic
asked
monster
sometimes
afraid
alive
anyway
fucked
buddy
running
crazy
serial
weird
suspect
personal
glad
brought
metro
drug
witness
finally
later
truth
worry
bitch
catch
started
telling
lumen
killing
wish
apartment
bullshit
deal
died
lost
butcher
damn
mistake
maria
file
making
astor
cody
jesus
pick
miss
chase
tried
harrison
meet
arthur
excuse
missing
paul
jordan
report
alone
supposed
listen
anymore
matter
saying
pretty
trust
soon
harry
hello
homicide
taking
evidence
exactly
thinking
course
close
stuff
bring
heard
whole
phone
scene
detective
problem
hell
knew
sergeant
called
angel
probably
shot
trinity
understand
font
already
fine
happen
coming
believe
remember
actually
leave
happened
lieutenant
trying
wanted
getting
wait
stay
killed
thanks
around
miami
told
feel
looking
thank
found
killer
shit
going
find
morgan
sure
fuck
fucking
tell
really
dexter
okay
yeah
want
know
